Release 7.1i - Fit H.38
Copyright(c) 1995-2003 Xilinx Inc. All rights reserved

11-11-2025  9:29AM

NOTE: This file is designed to be imported into a spreadsheet program
such as Microsoft Excel for viewing, printing and sorting. The comma ','
character is used as the data field separator.
This file is also designed to support parsing.

Input file:  ram_16x4.ngd
output file: ram_16x4_pad.csv
Part type:   xa2c32a
Speed grade: -6
Package:     vq44

Pinout by Pin Number:

-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,{blank},Slew Rate,Termination,{blank},Voltage,Constraint,
P1,PGND,,I/O/GCK2,,,1,,,,,,,
P2,PGND,,I/O,,,1,,,,,,,
P3,PGND,,I/O,,,1,,,,,,,
P4,GND,,GND,,,,,,,,,,
P5,PGND,,I/O,,,1,,,,,,,
P6,PGND,,I/O,,,1,,,,,,,
P7,,VCCIO-UNUSED,VCCIO,,,1,,,,,,,
P8,PGND,,I/O,,,1,,,,,,,
P9,TDI,,TDI,,,,,,,,,,
P10,TMS,,TMS,,,,,,,,,,
P11,TCK,,TCK,,,,,,,,,,
P12,PGND,,I/O,,,1,,,,,,,
P13,PGND,,I/O,,,1,,,,,,,
P14,PGND,,I/O,,,1,,,,,,,
P15,,VCC,VCC,,,,,,,,,,
P16,PGND,,I/O,,,1,,,,,,,
P17,GND,,GND,,,,,,,,,,
P18,TIE,,I,,,2,,,,,,,
P19,PGND,,I/O,,,2,,,,,,,
P20,PGND,,I/O,,,2,,,,,,,
P21,PGND,,I/O,,,2,,,,,,,
P22,PGND,,I/O,,,2,,,,,,,
P23,PGND,,I/O,,,2,,,,,,,
P24,TDO,,TDO,,,,,,,,,,
P25,GND,,GND,,,,,,,,,,
P26,,VCCIO-UNUSED,VCCIO,,,2,,,,,,,
P27,PGND,,I/O,,,2,,,,,,,
P28,PGND,,I/O,,,2,,,,,,,
P29,PGND,,I/O,,,2,,,,,,,
P30,PGND,,I/O/GSR,,,2,,,,,,,
P31,PGND,,I/O/GTS2,,,2,,,,,,,
P32,PGND,,I/O/GTS3,,,2,,,,,,,
P33,PGND,,I/O/GTS0,,,2,,,,,,,
P34,PGND,,I/O/GTS1,,,2,,,,,,,
P35,,VCCAUX,VAUX,,,,,,,,,,
P36,PGND,,I/O,,,2,,,,,,,
P37,PGND,,I/O,,,2,,,,,,,
P38,PGND,,I/O,,,2,,,,,,,
P39,PGND,,I/O,,,1,,,,,,,
P40,PGND,,I/O,,,1,,,,,,,
P41,PGND,,I/O,,,1,,,,,,,
P42,PGND,,I/O,,,1,,,,,,,
P43,PGND,,I/O/GCK0,,,1,,,,,,,
P44,PGND,,I/O/GCK1,,,1,,,,,,,

To preserve the pinout above for future design iterations in
Project Navigator simply execute the (Lock Pins) process
located under the (Implement Design) process in a toolbox named
(Optional Implementation Tools) or invoke PIN2UCF from the
command line. The location constraints will be written into your
specified UCF file


